"percentage_suspended","source","years_since_death","Volume loss (%)"
30,"plot.census",6,50
30,"plot.census",6,50
0,"dendro",9,87.5
0,"dendro",9,87.5
0,"plot.census",9,87.5
0,"plot.census",9,87.5
50,"plot.census",7,50
50,"plot.census",7,50
50,"dendro",7,50
50,"dendro",7,50
